condition,element,cv_pct
A,C,25.388509588302366
A,Ca,24.736193970600933
A,Cl,21.0064696769952
A,Mg,14.820512567521812
A,Na,14.687148017903828
A,O,11.263349151809068
A,S,15.320666608100158
B,C,21.09954571351549
B,Ca,29.036188593200436
B,Cl,32.30453412363414
B,Mg,4.646893253678059
B,Na,24.79155223375785
B,O,12.48731570876245
B,S,16.34481326696065
C,C,9.849741450281686
C,Ca,10.943958207647919
C,Cl,16.58060867335809
C,Mg,5.317188901040158
C,Na,25.380787755941807
C,O,7.448871540533903
C,S,23.679385316705233
D,C,12.011109603843584
D,Ca,19.515669074386132
D,Cl,16.519605236724665
D,Mg,5.7159482028975095
D,Na,19.817342373354887
D,O,11.198447537627786
D,S,18.664075862585804
E,C,19.469420540210965
E,Ca,27.465979870764283
E,Cl,31.58307981653911
E,Mg,5.307733133327273
E,Na,33.6961463200152
E,O,10.904665834362499
E,S,21.582242308608176
F,C,10.647165910016192
F,Ca,11.947814103341683
F,Cl,15.743087097426864
F,Mg,4.9701587603766075
F,Na,23.434138038224447
F,O,6.712482116219884
F,S,20.162260566495924
G,C,17.53266429505466
G,Ca,15.312415319597395
G,Cl,15.414564197386863
G,Mg,5.191537808887943
G,Na,19.190472198432698
G,O,11.722865036506711
G,S,20.937333604262772
H,C,10.234665205744145
H,Ca,12.599859854745384
H,Cl,16.796700542267224
H,Mg,6.908031562010917
H,Na,21.94636060758434
H,O,9.62330691376242
H,S,22.8246350500274
I,C,11.420201249483405
I,Ca,15.795729424690114
I,Cl,13.907099047077423
I,Mg,5.621895458468548
I,Na,20.939497468851204
I,O,8.029947955596663
I,S,17.79097311732852
