condition,image_num,sample_id,boundary_fractal_D,boundary_fractal_R2,particle_fractal_D,particle_fractal_R2
A,1,1,1.0458356359227359,0.9986094153906995,1.1473270500137969,0.9674463838323835
A,2,1,1.0438185069279768,0.9987885537596816,1.3287134177831585,0.972115603140608
A,3,1,1.0330201566489696,0.999613918219662,1.0046653084645805,0.9674157976317379
A,4,1,1.027016180317561,0.9998250450360531,1.0682846437904665,0.96846199751689
A,5,1,1.0806730079592393,0.9957841468832034,1.1065301292450533,0.9771673509894362
A,6,2,1.0360538377119732,0.999127426377529,1.301647090877076,0.9720647717653456
A,7,2,1.028343562724445,0.9996682925780533,1.2560467992464404,0.9697684468215894
A,8,2,1.1697314262121992,0.9919516894446172,1.0298604339124198,0.9852887062186323
A,9,2,1.1522646112114052,0.9914648024758486,1.2591464443393778,0.9806445177706835
A,10,2,1.1163428478048845,0.9940135511754083,1.2698167384565917,0.9807692538675798
A,11,3,1.0336749562859622,0.9998117867000339,1.3532043840058066,0.9766895421465065
A,12,3,1.0328539843415279,0.9998716407284812,1.3781198858744543,0.9789525719693188
A,13,3,1.019375186220475,0.999887753391854,1.385133049840207,0.9791686634997943
A,14,3,1.044674977061829,0.9981182237910543,1.3786135258382677,0.9771083524287467
A,15,3,1.0111987001262897,0.999943675516808,1.326786625611825,0.976814352839337
A,16,4,1.026442313311228,0.9998718585031044,1.1387673505954747,0.9719946790426538
A,17,4,1.0155795250408515,0.9999176592671959,1.1891593672319816,0.9741571868726131
A,18,4,1.020217692060242,0.9998896587503517,1.1513918275017212,0.9774981094267311
A,19,4,1.0462719775377893,0.9983998546916072,1.2262071049064265,0.9751433380422211
A,20,4,1.056686551366794,0.998698745084101,1.1971605205226523,0.9732060931896205
A,21,5,1.041061264734711,0.9990151064467536,1.1863070592273353,0.9745725801297479
A,22,5,1.0460913412900315,0.9986434890936503,1.221504480802395,0.9737007203577042
A,23,5,1.0155795250408515,0.9999176592671959,1.2354554801377402,0.9758704998745473
A,24,5,1.0081569044927747,0.9999764069713616,1.2399642242114899,0.9706539017705659
A,25,5,1.049494256003122,0.9979517260485974,1.3923879716408922,0.978658299671201
B,1,1,1.046839869734619,0.9993574000879336,1.3460924233429747,0.9683550289233446
B,2,1,1.1786842099180683,0.9920388339663633,1.168930938130815,0.9816013854902412
B,3,1,1.1441073936377049,0.9951509223903,1.1146940985974896,0.9842173947279975
B,4,1,1.2041108108022742,0.9856163809798586,1.1855853431894543,0.9702228329844695
B,5,1,1.181653468854484,0.9898908699352716,1.0880698500149963,0.9761631016847141
B,6,2,1.113501715172799,0.9953669624891054,1.4105249925947734,0.9735656684983957
B,7,2,1.1198077521582221,0.9959188211166805,1.2251231736491521,0.9809148130060227
B,8,2,1.1971946147947268,0.9922022686362318,1.1023145307831872,0.9870660934910014
B,9,2,1.1578866164717982,0.9932463272397274,1.159654298830157,0.9844394015084592
B,10,2,1.1369393020217167,0.9948579151154638,1.2340243677445142,0.9825118236527239
B,11,3,1.0197359775923867,0.9997762185022093,1.3920838805262832,0.9747493822920517
B,12,3,1.0115599906740793,0.999983583968533,1.3847449177952205,0.973404429331973
B,13,3,1.0351277726689867,0.9993895498642057,1.3604536379206853,0.9721617807509213
B,14,3,1.0160275454235508,0.9999413397750112,1.3569637559793173,0.972561954331311
B,15,3,1.03268042000565,0.99941824788154,1.3857334232366092,0.9729507772203821
B,16,4,1.014811124390595,0.999903303698771,1.416820905034485,0.9755437932527865
B,17,4,1.0231859294765224,0.999849747864434,1.413084486552278,0.9748893727101093
B,18,4,1.0304109271087907,0.9998362846866141,1.3959274879021193,0.9748652531164032
B,19,4,1.0476262129225973,0.9993026245162997,1.3991116599011042,0.9746382749211929
B,20,4,1.0193821410932267,0.9999479128977284,1.3838984353753072,0.9761681187926635
B,21,5,1.0250385371567052,0.9998550885690027,1.2393490594488765,0.9833878891148973
B,22,5,1.0167773179275132,0.9998611095186783,1.2351525104870191,0.9786793501604603
B,23,5,1.0177391108648342,0.9999478274264613,1.2755144226778392,0.9803586123462691
B,24,5,1.0118377823133753,0.9999775553305109,1.2764841469436934,0.9772429844195651
B,25,5,1.0120626975191638,0.9999703785170996,1.3066703149919556,0.9799898731824787
C,1,1,1.0440732142661444,0.9986399317195347,1.2995535711780255,0.9702500870824389
C,2,1,1.0378854483981916,0.9994995211873411,1.3117672782328123,0.9728197047654805
C,3,1,1.0369232265209367,0.9997053000093491,1.3243007266119455,0.9742643117805254
C,4,1,1.0286723318328128,0.9997987837959516,1.3378315532163938,0.9769074423835346
C,5,1,1.05300939544008,0.9993842096847038,1.356989784282778,0.9806704183603763
C,6,2,1.0460355056228,0.9994325569289004,1.311177450939839,0.9759815450214442
C,7,2,1.0311012713233376,0.9991969971348674,1.3216809598296535,0.9758801929318254
C,8,2,1.0206502595876064,0.9998147527365312,1.3373464990965116,0.9729650774981746
C,9,2,1.033529802781577,0.9996944960981087,1.3441313820589367,0.9731900913127927
C,10,2,1.0317429610688655,0.999382879987002,1.3125734328206138,0.9715444257174163
C,11,3,1.0376936156769627,0.9995183431067903,1.4262669798325986,0.9776541070218268
C,12,3,1.0376334345679927,0.9995291395280593,1.379232800808142,0.9777226958473494
C,13,3,1.0331090849565034,0.9997811401263911,1.379328239154558,0.9764328349217601
C,14,3,1.0278440691328536,0.9996459766364456,1.3784880263735277,0.976729705507332
C,15,3,1.0400393900471059,0.9987314783052285,1.355080746375517,0.9773237054754266
C,16,4,1.0344233775690836,0.9996676279815546,1.4099559261329448,0.9810491535597489
C,17,4,1.0491623018210243,0.998834380952031,1.3654362416617158,0.9796930118206596
C,18,4,1.0263423583452684,0.9997958771231268,1.3307571298215037,0.9777764196422224
