ring_peak_position,ring_width,center_to_edge_ratio,ring_uniformity_cv,density_gradient,condition,image_num,sample_id,deposit_area_fraction
0.73,,0.7910486703004367,0.0055928426525788,148.84082091722493,A,1,1,0.28265299479166667
0.01,0.06000000000000005,0.9852824821234085,0.15115785087922218,153.48998315466406,A,2,1,0.29576497395833334
0.55,0.6599999999999999,0.9643555628210874,0.018325012633890466,27.75045633756301,A,3,1,0.2962955729166667
0.21000000000000002,,0.9815763453696845,0.04107435348662518,91.87438873351729,A,4,1,0.27923502604166667
0.01,0.36000000000000004,1.0102289685725825,0.021665190719836306,-159.94066173641946,A,5,1,0.044287109375
0.63,,0.8885822332733554,0.004332135079510002,129.27239385060346,A,6,2,0.32599609375
0.99,0.12,0.9805825250981691,0.0038868530650574976,110.38106408860997,A,7,2,0.34157877604166664
0.99,,,0.00767596159491226,196.31878239660236,A,8,2,0.06439453125
0.99,0.08000000000000002,0.8933033998717685,0.003477639481931836,137.7999324582173,A,9,2,0.23706705729166666
0.85,0.8599999999999999,0.9571956437882861,0.021835253228180813,242.96716661541723,A,10,2,0.227705078125
0.47,0.66,0.9876103308172157,0.006427492073213004,-43.595927649939085,A,11,3,0.29716145833333335
0.51,0.26,0.9765713412745061,0.0030063606285732573,28.51293816343258,A,12,3,0.28925130208333333
0.83,,0.9584862991914996,0.006324343339606438,-36.16229316039892,A,13,3,0.28749674479166665
0.99,,1.0147176251286243,0.056869009194634765,-106.21512782649069,A,14,3,0.27690755208333334
0.91,0.46,0.9731315310355406,0.01366112093956258,-43.70145835253527,A,15,3,0.27752278645833334
0.5700000000000001,,1.2234164122890012,0.008637920876164976,168.68733984773564,A,16,4,0.20462239583333333
0.53,,1.141098922475828,0.005107958225852959,175.0111546540805,A,17,4,0.18983072916666666
0.5700000000000001,,1.166660362446,0.004696391525884437,227.66589969912718,A,18,4,0.183974609375
0.53,,1.134710154344409,0.004334099327387826,278.74068835607903,A,19,4,0.17300130208333334
0.77,0.6799999999999999,0.9734441750676188,0.015031202307521105,221.8777865278806,A,20,4,0.19111328125
0.63,0.41999999999999993,0.8448933306169106,0.006028359002417866,200.51083521025618,A,21,5,0.15662109375
0.59,0.5,1.0328666177344752,0.0031489133448110358,130.05433398102355,A,22,5,0.16689778645833334
0.65,,1.0562520699958748,0.006153291882252847,-13.670706164391163,A,23,5,0.17255859375
0.63,0.38000000000000006,1.0180577201726364,0.014232574002525348,63.85274625963734,A,24,5,0.17486979166666666
0.75,0.72,1.0080181238994776,0.01586065305024179,-380.882941083432,A,25,5,0.19614908854166666
0.01,,1.1210012972957806,0.014823362162429842,-56.48705147724638,B,1,1,0.5965299479166667
0.75,0.4600000000000001,,0.06618148099651916,134.14417487594977,B,2,1,0.24407552083333334
0.55,0.05999999999999994,,0.024811723313859443,225.65995625457882,B,3,1,0.14851236979166665
0.37,0.5,1.0319854585112378,0.02166405869452903,216.06311597912867,B,4,1,0.39611979166666667
0.59,0.6399999999999999,1.00797581010583,0.04487851131561477,241.0429249760918,B,5,1,0.12278645833333333
0.01,0.44000000000000006,1.0420440141139657,0.00857424809163317,56.132460178809026,B,6,2,0.57005859375
0.5700000000000001,0.020000000000000004,0.8768534865109893,0.013854837093795763,124.68633567279045,B,7,2,0.23686848958333334
0.89,0.31999999999999995,,0.02310123926775063,569.239128104347,B,8,2,0.10537434895833334
0.83,0.18,0.9413412374428706,0.022402739861546974,397.92552224138757,B,9,2,0.0701171875
0.91,0.15999999999999998,0.8098115054372612,0.008157640671026282,327.0182425358049,B,10,2,0.24208658854166668
0.99,,0.992781897091363,0.012666687441572778,-147.2930089529262,B,11,3,0.43923828125
0.99,-0.86,0.9924668332611978,0.004285657159023315,-76.09090512708048,B,12,3,0.4600325520833333
0.99,,0.9735132261767201,0.001974621023533042,3.936817436942647,B,13,3,0.41658854166666665
0.99,0.08000000000000002,1.0133879816189968,0.010440391470301048,-43.35267732854243,B,14,3,0.4521614583333333
0.99,0.06,0.9822928413396808,0.0006623253408154485,31.2700483667125,B,15,3,0.4069466145833333
0.01,,1.0853398041771618,0.003714817986285837,-28.370973654436,B,16,4,0.490498046875
0.99,-0.6399999999999999,1.0636429314635367,0.009146250394219317,-50.22669633653385,B,17,4,0.48351888020833333
0.01,-0.5399999999999999,1.1036124159334337,0.007437775849964891,72.53836780322342,B,18,4,0.46958333333333335
0.01,,1.1095212178225773,0.015918099602330454,-21.247826418716954,B,19,4,0.42066080729166666
0.71,0.4,0.9797411505538027,0.013739007909561226,83.972510175492,B,20,4,0.4385677083333333
0.75,0.30000000000000004,0.9299601117210734,0.012351324393035077,285.5689588873671,B,21,5,0.19773111979166666
0.69,,0.981731541986074,0.011077504516318807,161.72841151582034,B,22,5,0.19758138020833332
0.67,0.7,0.9891168733015324,0.005471621296049608,103.15767173179614,B,23,5,0.18282877604166667
0.67,,1.021540734039492,0.005597656509634379,132.9186059436968,B,24,5,0.18147786458333334
0.65,,0.9976093877778726,0.0034161660032991227,6.615116768541554,B,25,5,0.18817057291666667
0.99,0.58,0.9642500709115652,0.026695642689959838,-62.06599578029375,C,1,1,0.298095703125
0.99,,1.106364080318831,0.04744767307764205,-199.56181333592937,C,2,1,0.23084309895833333
0.99,,0.9254174247236793,0.039306749360775245,-176.7282266183759,C,3,1,0.169267578125
0.9299999999999999,,0.8715667561240974,0.03091263775346224,71.13489950605918,C,4,1,0.198125
0.91,,0.8837908176659733,0.010911476931047891,-59.60743991704442,C,5,1,0.20948567708333332
0.01,,1.393494962498089,0.018116079434700515,-60.100901020653794,C,6,2,0.3807454427083333
0.99,-0.7,1.1369375685952325,0.02880156073056597,-146.1834622646383,C,7,2,0.394794921875
0.13,,1.218207497916593,0.004995928195120133,94.57604673539842,C,8,2,0.3442578125
