radius_bin,r_center,mean_intensity,pixel_count,condition,image_num,particle_density,n_particles
0,0.01,80.82142857142857,560,A,1,0.0,0
1,0.03,89.59446450060169,1662,A,1,150.42117930204574,1
2,0.05,94.33705035971224,2780,A,1,89.92805755395683,1
3,0.07,97.90336674376766,3891,A,1,128.5016705217168,2
4,0.09,98.9632,5000,A,1,200.0,4
5,0.11,90.97556175168116,6097,A,1,82.00754469411186,2
6,0.13,88.48189106994747,7234,A,1,69.11805363560963,2
7,0.15000000000000002,86.55695292849443,8349,A,1,29.9437058330339,1
8,0.16999999999999998,84.69760542487815,9438,A,1,0.0,0
9,0.19,86.1516300227445,10552,A,1,0.0,0
10,0.21000000000000002,90.99315537303217,11688,A,1,85.55783709787818,4
11,0.22999999999999998,101.05651221039449,12776,A,1,117.407639323732,6
12,0.25,105.90605427974948,13891,A,1,71.9890576632352,4
13,0.27,109.07793245853594,15013,A,1,99.91340837940453,6
14,0.29000000000000004,109.0338751706167,16118,A,1,15.510609256731604,1
15,0.31,107.30339692880409,17192,A,1,87.24988366682179,6
16,0.33,102.6940721368639,18354,A,1,81.72605426610004,6
17,0.35,104.45993836671803,19470,A,1,38.52080123266565,3
18,0.37,105.41588012065777,20554,A,1,85.14157828159969,7
19,0.39,109.98859807044269,21663,A,1,23.08082906337996,2
20,0.41000000000000003,112.13475208424748,22790,A,1,76.7880649407635,7
21,0.43,113.78095557137473,23881,A,1,52.3428667141242,5
22,0.45,113.65461670732195,25007,A,1,29.991602351341626,3
23,0.47,115.59908221797323,26150,A,1,19.120458891013385,2
24,0.49,118.70550209358701,27226,A,1,73.45919341805627,8
25,0.51,119.62169704677123,28308,A,1,88.31425745372333,10
26,0.53,118.45136107528342,29462,A,1,33.942027017853505,4
27,0.55,118.7197554276746,30584,A,1,73.56787862934868,9
28,0.5700000000000001,117.2040049271975,31661,A,1,47.37689902403588,6
29,0.59,120.03547245775636,32786,A,1,68.62685292502898,9
30,0.61,120.71850324101355,33940,A,1,110.48909840895699,15
31,0.63,118.84335524435554,34990,A,1,100.02857959416976,14
32,0.65,116.74477868262146,36102,A,1,69.2482410946762,10
33,0.67,121.48566827697262,37260,A,1,120.77294685990337,18
34,0.69,120.71865547095024,38348,A,1,162.98112026702827,25
35,0.71,121.53837371559051,39415,A,1,158.56907268806293,25
36,0.73,119.78595202287912,40561,A,1,154.08890313355192,25
37,0.75,120.04221300668792,41717,A,1,197.76110458566055,33
38,0.77,121.25756229837766,42778,A,1,239.60914488755904,41
39,0.79,120.91686606959732,43881,A,1,319.04468904537276,56
40,0.81,119.06730000887863,45052,A,1,166.4742963686407,30
41,0.83,119.96381072226681,46091,A,1,265.77856848408584,49
42,0.85,120.88157337623846,47236,A,1,269.9212465069015,51
43,0.87,117.50117329456963,48155,A,1,186.89648011629114,36
44,0.89,117.44112925084964,47961,A,1,213.7153103563312,41
45,0.91,117.69377900413897,47838,A,1,229.9427233579999,44
46,0.9299999999999999,118.96435506550901,44803,A,1,239.93928977970228,43
47,0.95,115.86823315591327,38515,A,1,220.69323640140206,34
48,0.97,118.85869663191419,33283,A,1,300.4536850644473,40
49,0.99,118.41575708116562,29409,A,1,144.51358427692205,17
0,0.01,143.84615384615384,585,A,2,0.0,0
1,0.03,125.66666666666667,1746,A,2,572.737686139748,4
2,0.05,98.68775933609959,2892,A,2,172.89073305670817,2
3,0.07,99.51359960793923,4081,A,2,122.51899044351876,2
4,0.09,103.14977046671767,5228,A,2,143.4583014537108,3
5,0.11,102.0984860309037,6407,A,2,117.0594662088341,3
6,0.13,102.42037037037036,7560,A,2,132.27513227513228,4
7,0.15000000000000002,97.01838869095506,8701,A,2,86.1969888518561,3
8,0.16999999999999998,103.71631849833484,9909,A,2,100.91835704914725,4
9,0.19,111.41237767306995,11036,A,2,67.95940558173251,3
10,0.21000000000000002,114.5578843949566,12214,A,2,102.34157524152613,5
11,0.22999999999999998,116.73481282223716,13383,A,2,168.12373907195698,9
12,0.25,118.34265830634604,14513,A,2,137.807482946324,8
13,0.27,118.17273593898952,15735,A,2,142.99332697807438,9
14,0.29000000000000004,119.20336064600404,16842,A,2,103.90689941812137,7
15,0.31,118.11428730017762,18016,A,2,180.39520426287743,13
16,0.33,112.92989851678377,19215,A,2,195.160031225605,15
17,0.35,112.49016522423288,20336,A,2,221.28245476003147,18
18,0.37,115.6443267846361,21531,A,2,174.16747944823743,15
19,0.39,113.78775438131815,22653,A,2,231.75738312806251,21
20,0.41000000000000003,114.81071218857478,23842,A,2,178.25685764617063,17
21,0.43,112.92493811387048,25046,A,2,209.61430967020684,21
22,0.45,115.29819657694222,26117,A,2,162.72925680591186,17
23,0.47,115.64720078984898,27347,A,2,274.25311734376714,30
24,0.49,115.43130923130923,28490,A,2,298.3502983502984,34
25,0.51,113.69427675289198,29651,A,2,311.9624970490034,37
26,0.53,113.77145171743356,30860,A,2,356.44847699287106,44
27,0.55,113.4658229434246,31922,A,2,352.421527473216,45
28,0.5700000000000001,113.05782558910384,33186,A,2,233.53221237871392,31
29,0.59,114.73014393100635,34322,A,2,393.3337218110833,54
30,0.61,113.27575603701196,35448,A,2,324.4188670728955,46
31,0.63,114.73966288457342,36664,A,2,347.7525638228235,51
32,0.65,116.37509601885942,37753,A,2,331.09951527030967,50
33,0.67,114.86793517283824,38996,A,2,346.18935275412866,54
34,0.69,113.60781382369063,40134,A,2,355.0605471669906,57
35,0.71,109.46647265672365,41235,A,2,363.7686431429611,60
36,0.73,112.84670605126274,42487,A,2,423.65900157695296,72
37,0.75,112.05916494608856,43590,A,2,355.58614361092,62
38,0.77,108.8303386085132,44801,A,2,340.39418762974043,61
39,0.79,112.76574027726393,45949,A,2,397.1794815991643,73
40,0.81,112.86712721862047,47045,A,2,398.5545754065257,75
41,0.83,112.36094895044094,48306,A,2,424.3779240674037,82
42,0.85,113.64799676244435,49420,A,2,379.4010522055848,75
43,0.87,115.3455098934551,50589,A,2,380.51750380517507,77
44,0.89,106.70144753879752,51743,A,2,217.42071391299308,45
45,0.91,115.36983729662077,52734,A,2,379.2619562331703,80
46,0.9299999999999999,116.63337419083004,52214,A,2,244.18738269429656,51
47,0.95,120.83242152559649,48073,A,2,228.81867160360287,44
48,0.97,116.17138658074727,35382,A,2,190.7749703238935,27
49,0.99,113.65609553560837,25289,A,2,207.60014235438334,21
0,0.01,109.97435897435898,585,A,3,0.0,0
1,0.03,118.80758184951178,1741,A,3,143.59563469270535,1
2,0.05,120.87850787132102,2922,A,3,256.67351129363453,3
3,0.07,114.80123001230012,4065,A,3,0.0,0
4,0.09,107.77488106565175,5255,A,3,0.0,0
5,0.11,107.68093081368109,6403,A,3,39.04419803217242,1
6,0.13,109.66305353602115,7565,A,3,0.0,0
7,0.15000000000000002,115.34201805507942,8751,A,3,28.56816363844132,1
8,0.16999999999999998,118.06723963599596,9890,A,3,101.11223458038423,4
9,0.19,120.25699584762593,11078,A,3,112.83625203105254,5
10,0.21000000000000002,120.9141876430206,12236,A,3,61.29454069957503,3
11,0.22999999999999998,122.24576081272876,13387,A,3,93.37416896989617,5
12,0.25,117.15667855183763,14584,A,3,51.426220515633574,3
13,0.27,119.00718281210273,15732,A,3,63.564708873633364,4
14,0.29000000000000004,121.51866998577525,16872,A,3,74.08724513987673,5
15,0.31,126.17829671849925,18071,A,3,138.3432018150628,10
16,0.33,122.43673554364233,19213,A,3,91.08416176547131,7
17,0.35,126.24513217911618,20389,A,3,36.784540683702,3
18,0.37,130.05801604600472,21563,A,3,92.75147242962483,8
19,0.39,132.09971359330248,22695,A,3,88.12513769552766,8
20,0.41000000000000003,131.661469002132,23921,A,3,83.60854479327789,8
21,0.43,127.13812817334986,25013,A,3,69.96361891816255,7
22,0.45,123.36794969512195,26240,A,3,47.63719512195122,5
23,0.47,124.38671047827674,27390,A,3,73.01935012778387,8
24,0.49,125.93145641960592,28522,A,3,26.29549119977561,3
25,0.51,131.54948013055622,29719,A,3,50.47276153302601,6
26,0.53,131.8478950777202,30880,A,3,48.57512953367876,6
27,0.55,133.45883712937794,32007,A,3,46.86474833630143,6
28,0.5700000000000001,130.03725100800386,33234,A,3,67.70175121863153,9
29,0.59,126.38923497904052,34352,A,3,50.94317652538425,7
30,0.61,125.37858288093162,35551,A,3,70.3215099434615,10
31,0.63,122.28908803660929,36712,A,3,20.429287426454565,3
32,0.65,118.66380403762815,37844,A,3,46.24246908360639,7
33,0.67,117.71129321382843,39050,A,3,38.41229193341869,6
34,0.69,115.5657475612184,40184,A,3,68.43519808879157,11
35,0.71,116.97603095900351,41345,A,3,90.70020558713266,15
36,0.73,118.42968603120887,42552,A,3,76.37713855987968,13
37,0.75,118.85112282309808,43640,A,3,40.10082493125573,7
38,0.77,120.62842820541384,44885,A,3,94.68642085329174,17
39,0.79,118.91291682970305,46002,A,3,59.78000956480153,11
40,0.81,116.74597703625514,46421,A,3,53.85493634346525,10
41,0.83,121.01663637335614,46765,A,3,112.26344488399444,21
42,0.85,124.13319467914555,46158,A,3,86.6588673686035,16
