condition,image_num,r_um,L_r
A,1,0.0,0.0
A,1,22.931077304486738,-10.544233294724622
A,1,45.862154608973476,1.0726138079916794
A,1,68.79323191346022,4.450927416631913
A,1,91.72430921794695,6.174307985422487
A,1,114.65538652243369,6.913412414088327
A,1,137.58646382692044,8.208171049079851
A,1,160.51754113140717,8.950860221675185
A,1,183.4486184358939,10.011747372721004
A,1,206.37969574038064,8.944334681725422
A,1,229.31077304486737,8.506032844321794
A,1,252.2418503493541,7.344133472497589
A,1,275.1729276538409,5.412232977991607
A,1,298.1040049583276,1.7131875453375187
A,1,321.03508226281434,-2.2349530297305478
A,1,343.9661595673011,-6.0170172580694725
A,1,366.8972368717878,-11.250874386074145
A,1,389.82831417627455,-16.76597224636913
A,1,412.7593914807613,-22.6721258466834
A,1,435.690468785248,-29.007804401454905
A,1,458.62154608973475,-35.826112634448236
A,1,481.5526233942215,-43.098837001992536
A,1,504.4837006987082,-51.074930458758786
A,1,527.414778003195,-58.79736918511708
A,1,550.3458553076817,-67.26461059212579
A,1,573.2769326121685,-75.66221943581911
A,1,596.2080099166552,-84.24224232831568
A,1,619.139087221142,-92.77629094026736
A,1,642.0701645256287,-101.8154795300976
A,1,665.0012418301154,-110.66402290846008
A,2,0.0,0.0
A,2,23.4569225229011,-12.588780862450133
A,2,46.9138450458022,-2.7226749009235505
A,2,70.3707675687033,1.6748021127063026
A,2,93.8276900916044,3.8647530892870066
A,2,117.28461261450549,4.881980102176755
A,2,140.7415351374066,6.038743424998671
A,2,164.1984576603077,6.703813881696448
A,2,187.6553801832088,6.729468398686578
A,2,211.1123027061099,6.271661973408186
A,2,234.56922522901098,5.849091502567035
A,2,258.0261477519121,4.896539881328579
A,2,281.4830702748132,3.564895018760126
A,2,304.9399927977143,1.8249505489694684
A,2,328.3969153206154,0.0356164036949167
A,2,351.8538378435165,-2.3417316574835922
A,2,375.3107603664176,-5.100241567723231
A,2,398.7676828893187,-8.305335086931848
A,2,422.2246054122198,-11.654271773191851
A,2,445.68152793512087,-15.430297889225471
A,2,469.13845045802196,-19.749590486733325
A,2,492.59537298092306,-24.102685138360073
A,2,516.0522955038242,-29.01482379771943
A,2,539.5092180267253,-34.28283260386968
A,2,562.9661405496264,-39.774257554926294
A,2,586.4230630725275,-45.76047475589155
A,2,609.8799855954286,-52.14438704630311
A,2,633.3369081183297,-58.642703435686485
A,2,656.7938306412308,-65.4430724353117
A,2,680.2507531641319,-72.43644226834931
A,3,0.0,0.0
A,3,23.477953819132885,-7.067702198587224
A,3,46.95590763826577,10.830551349072316
A,3,70.43386145739865,12.704215629699561
A,3,93.91181527653154,9.702605287813213
A,3,117.38976909566443,7.658788948912871
A,3,140.8677229147973,5.971174351968131
A,3,164.3456767339302,5.61467951101713
A,3,187.82363055306308,1.5708649288531262
A,3,211.30158437219598,-0.5506744794091105
A,3,234.77953819132887,-4.0223788847861215
A,3,258.25749201046176,-6.372156979597321
A,3,281.7354458295946,-10.130495451575314
A,3,305.2133996487275,-14.82458045413199
A,3,328.6913534678604,-20.25428237504201
A,3,352.1693072869933,-25.27973120135266
A,3,375.64726110612617,-31.084077049873372
A,3,399.12521492525906,-36.36337331107404
A,3,422.60316874439195,-42.25332497986949
A,3,446.08112256352484,-49.64530849713765
A,3,469.55907638265774,-54.99311560571641
A,3,493.03703020179057,-61.309122730153945
A,3,516.5149840209235,-67.08176119714727
A,3,539.9929378400564,-72.9105507140876
A,3,563.4708916591892,-80.81231359756123
A,3,586.9488454783221,-88.33637277426857
A,3,610.426799297455,-94.50769663316532
A,3,633.9047531165879,-100.51687741500234
A,3,657.3827069357208,-106.49338714745932
A,3,680.8606607548537,-112.77197425744919
A,4,0.0,0.0
A,4,22.792009091254418,-13.452286125996723
A,4,45.584018182508835,-1.0091907834646676
A,4,68.37602727376326,5.296701012253081
A,4,91.16803636501767,6.639273939978963
A,4,113.96004545627208,6.252989414712559
A,4,136.7520545475265,6.930003945187423
A,4,159.54406363878093,5.575147746210888
A,4,182.33607273003534,3.6784480567720266
A,4,205.12808182128975,4.062253939377257
A,4,227.92009091254417,2.3124472588519325
A,4,250.71210000379858,0.5169959848065844
A,4,273.504109095053,-2.84902874736008
A,4,296.2961181863074,-4.929359392795789
A,4,319.08812727756185,-8.69940590931185
A,4,341.88013636881624,-12.906154569743364
A,4,364.6721454600707,-17.21436630728988
A,4,387.4641545513251,-22.099094423742883
A,4,410.2561636425795,-28.087603486475757
A,4,433.04817273383395,-34.662791129454604
A,4,455.84018182508834,-40.98402764789114
A,4,478.6321909163428,-47.035473369186604
A,4,501.42420000759716,-52.58812685920333
A,4,524.2162090988516,-58.71640443963071
A,4,547.008218190106,-64.41569580556626
A,4,569.8002272813604,-71.27322371234021
A,4,592.5922363726148,-78.4548376515387
A,4,615.3842454638693,-85.3372526374244
A,4,638.1762545551237,-92.86119052699632
A,4,660.9682636463781,-100.66272216130994
A,5,0.0,0.0
A,5,9.076874486588894,-9.076874486588894
A,5,18.153748973177787,-18.153748973177787
A,5,27.230623459766683,-13.87434700867342
A,5,36.307497946355575,-10.539151641949996
A,5,45.38437243294447,-7.870377169991052
A,5,54.461246919533366,-7.134858189428208
A,5,63.53812140612226,-5.404639402505161
A,5,72.61499589271115,-4.65675862839268
A,5,81.69187037930004,-5.940860173561433
A,5,90.76874486588893,-6.4724036715753215
A,5,99.84561935247783,-7.95547274505671
A,5,108.92249383906673,-8.775157355462397
A,5,117.99936832565562,-9.492465494039052
A,5,127.07624281224452,-10.129349242632415
A,5,136.1531172988334,-11.932565717424524
A,5,145.2299917854223,-13.009600685838905
A,5,154.3068662720112,-15.076626108463785
A,5,163.38374075860008,-16.16146099931754
A,5,172.460615245189,-19.105588469257214
A,5,181.53748973177787,-20.64501440421799
A,5,190.61436421836677,-23.023990275733013
A,5,199.69123870495565,-25.31920824557784
A,5,208.76811319154456,-28.197490365658126
A,5,217.84498767813346,-31.361307528481007
A,5,226.92186216472234,-34.06351997276806
A,5,235.99873665131125,-36.373160038282975
A,5,245.07561113790013,-40.03755345828617
A,5,254.15248562448903,-43.53511534054715
A,5,263.22936011107794,-46.32975421666609
A,6,0.0,0.0
A,6,24.62656623068142,-12.799151186820868
A,6,49.25313246136284,-4.747947858187956
A,6,73.87969869204426,-2.6192678993346448
A,6,98.50626492272568,-2.7748472972490106
A,6,123.1328311534071,-3.2782949909372405
A,6,147.75939738408852,-3.3916852678374596
A,6,172.38596361476993,-4.191102283169187
A,6,197.01252984545135,-5.69522855615898
A,6,221.63909607613277,-7.227545765008728
A,6,246.2656623068142,-9.027562419320589
A,6,270.8922285374956,-11.539721088255646
A,6,295.51879476817703,-14.219269902458791
A,6,320.14536099885845,-16.993092739940323
A,6,344.77192722953987,-20.257711259274572
A,6,369.3984934602213,-23.452977461678756
A,6,394.0250596909027,-27.069759299843213
A,6,418.6516259215841,-30.760153961781782
A,6,443.27819215226555,-34.72338513874229
A,6,467.90475838294697,-38.95465550687862
A,6,492.5313246136284,-43.32787216400379
A,6,517.1578908443098,-48.09509709031511
A,6,541.7844570749912,-52.856213108774
A,6,566.4110233056726,-57.957549328081484
A,6,591.0375895363541,-63.443455078763236
A,6,615.6641557670355,-68.9632035753043
A,6,640.2907219977169,-74.73221263932714
A,6,664.9172882283983,-80.89907372183677
A,6,689.5438544590797,-87.12092931481254
A,6,714.1704206897612,-93.4786438320981
A,7,0.0,0.0
A,7,25.208273479793892,-9.99352082254528
A,7,50.416546959587784,-0.6536542768526701
A,7,75.62482043938168,1.2881573368820511
A,7,100.83309391917557,0.9824946037816744
A,7,126.04136739896946,1.6129987580416127
A,7,151.24964087876336,1.4466727493209248
A,7,176.45791435855725,1.0517950936601892
A,7,201.66618783835114,0.22849697019145765
A,7,226.87446131814502,-0.8758879280534302
A,7,252.0827347979389,-2.7098960632908415
A,7,277.29100827773283,-5.410859025860589
A,7,302.4992817575267,-8.117861850819054
A,7,327.7075552373206,-11.597912248086288
A,7,352.9158287171145,-14.587145095166875
A,7,378.1241021969084,-18.020614206744256
A,7,403.33237567670227,-22.049215949279528
A,7,428.54064915649616,-26.281347859886807
A,7,453.74892263629005,-31.261888478546098
A,7,478.95719611608394,-36.11210072766016
A,7,504.1654695958778,-40.987738887371165
A,7,529.3737430756718,-46.39885556639007
A,7,554.5820165554657,-51.72283092834647
A,7,579.7902900352595,-57.21151202587748
A,7,604.9985635150534,-63.29023517980511
A,7,630.2068369948473,-69.57924762676942
A,7,655.4151104746412,-76.06802068702711
A,7,680.6233839544351,-82.47755913349931
A,7,705.831657434229,-89.3639232177186
A,7,731.0399309140229,-96.32864208714079
A,8,0.0,0.0
A,8,10.94516103917022,-10.94516103917022
A,8,21.89032207834044,-15.8751034509502
A,8,32.83548311751066,-10.530455475510085
A,8,43.78064415668088,-7.439562548691519
A,8,54.725805195851095,-5.305741237647631
A,8,65.67096623502133,-6.657410107866362
A,8,76.61612727419154,-8.694746032707101
A,8,87.56128831336176,-11.652661133726042
A,8,98.50644935253197,-13.01412959612864
A,8,109.45161039170219,-16.26424412098602
A,8,120.39677143087242,-20.057948229691064
A,8,131.34193247004265,-23.570431142316338
A,8,142.28709350921287,-27.91881936200076
A,8,153.23225454838308,-32.103613189845674
A,8,164.1774155875533,-37.001410596516436
A,8,175.12257662672351,-41.326210539333346
A,8,186.06773766589373,-46.09268254618206
A,8,197.01289870506395,-52.20970623021614
A,8,207.95805974423416,-57.54752097334912
A,8,218.90322078340438,-62.999940070202314
A,8,229.84838182257462,-68.89210118439445
A,8,240.79354286174484,-74.42081619506297
A,8,251.73870390091506,-80.2258436688002
A,8,262.6838649400853,-85.7454140431123
A,8,273.6290259792555,-92.57194450331849
A,8,284.57418701842573,-98.78278840406949
A,8,295.51934805759595,-105.34899361785978
A,8,306.46450909676616,-111.80456190565656
A,8,317.4096701359364,-118.42954743066514
A,9,0.0,0.0
A,9,21.000675638803145,-15.492111248265829
A,9,42.00135127760629,-5.350048345028711
A,9,63.002026916409434,-1.4144047380287361
A,9,84.00270255521258,-1.0148429274913013
A,9,105.00337819401572,-1.518126853225752
A,9,126.00405383281887,-2.738829662724484
A,9,147.004729471622,-4.5582914036346835
A,9,168.00540511042516,-7.266521411729286
A,9,189.00608074922832,-9.836005668100483
A,9,210.00675638803145,-13.296831534797576
A,9,231.00743202683458,-16.97076304415384
A,9,252.00810766563774,-20.835124107152893
A,9,273.0087833044409,-25.116323568821628
A,9,294.009458943244,-29.65134046899425
A,9,315.01013458204716,-34.49948671291048
A,9,336.0108102208503,-39.458009449881104
A,9,357.0114858596535,-44.70230412486637
A,9,378.01216149845663,-50.12174681289707
A,9,399.01283713725974,-56.163631979565935
A,9,420.0135127760629,-62.34328735777257
A,9,441.01418841486606,-68.90606110774388
A,9,462.01486405366916,-75.66848913828517
A,9,483.0155396924723,-82.76961591011394
A,9,504.0162153312755,-90.15416221846363
A,9,525.0168909700786,-97.80322383055409
A,9,546.0175666088818,-105.90483035185332
A,9,567.018242247685,-114.08776488693991
A,9,588.018917886488,-122.63111024399865
A,9,609.0195935252912,-131.6912234227911
A,10,0.0,0.0
A,10,20.58183161427062,-15.318676319507944
A,10,41.16366322854124,-4.083113565303243
A,10,61.74549484281186,-1.1308607447551822
A,10,82.32732645708248,0.44291212720182216
A,10,102.90915807135309,1.169049816961376
A,10,123.49098968562372,0.7543418221025462
A,10,144.07282129989434,-0.1101954380634993
A,10,164.65465291416496,-1.9914917436384485
A,10,185.23648452843557,-3.531119434242868
A,10,205.81831614270618,-5.821562786649224
A,10,226.40014775697682,-8.344124045460745
A,10,246.98197937124743,-11.328512247958457
A,10,267.56381098551805,-14.553852691461856
A,10,288.1456425997887,-17.987685103729234
A,10,308.72747421405927,-21.849298563979062
A,10,329.3093058283299,-26.03885923365732
A,10,349.89113744260055,-30.379737810636357
A,10,370.47296905687114,-35.27041049096698
A,10,391.0548006711418,-40.17738229663735
A,10,411.63663228541236,-45.576364795432085
A,10,432.218463899683,-51.282879996676
A,10,452.80029551395364,-57.25427125328849
A,10,473.3821271282242,-63.32554999333257
A,10,493.96395874249487,-69.82773392544198
A,10,514.5457903567655,-76.67180076005661
A,10,535.1276219710361,-83.72052097818033
A,10,555.7094535853067,-90.90996163281699
A,10,576.2912851995774,-98.30468282307265
A,10,596.873116813848,-106.10360837484757
A,11,0.0,0.0
A,11,23.512234431076422,-12.958737845781151
A,11,47.024468862152844,-4.563855380699316
A,11,70.53670329322927,-1.2888053581289824
A,11,94.04893772430569,0.6664893335766351
A,11,117.56117215538211,1.7286485524109878
A,11,141.07340658645853,2.751262779965117
A,11,164.58564101753495,3.5913098817904086
A,11,188.09787544861138,3.8223093661280245
A,11,211.6101098796878,4.283630908046916
A,11,235.12234431076422,4.372789905549354
A,11,258.63457874184064,4.1999968163059975
A,11,282.14681317291706,3.7457098112627705
A,11,305.6590476039935,3.311068409997347
A,11,329.1712820350699,2.6101677488862265
A,11,352.68351646614633,1.77421932720506
A,11,376.19575089722275,0.7202594855739903
A,11,399.7079853282992,-0.7416694486076381
A,11,423.2202197593756,-2.20109184547465
A,11,446.732454190452,-3.8764220333700905
A,11,470.24468862152844,-5.859921450774721
A,11,493.75692305260486,-8.131209741208067
A,11,517.2691574836813,-10.50296685548875
A,11,540.7813919147577,-13.158508197820765
A,11,564.2936263458341,-16.110680105362007
A,11,587.8058607769105,-19.296685445664366
A,11,611.318095207987,-22.664213951174133
A,11,634.8303296390634,-26.431892040644925
A,11,658.3425640701398,-30.34854937373393
A,11,681.8547985012162,-34.57337587421853
A,12,0.0,0.0
A,12,23.19718703128586,-13.31522650992514
A,12,46.39437406257172,-4.310615563248071
A,12,69.59156109385758,-1.7511631664035434
A,12,92.78874812514344,-0.1558446042103867
A,12,115.9859351564293,0.7314401828052155
A,12,139.18312218771516,1.2706554433562474
A,12,162.38030921900102,1.3920913100890573
A,12,185.57749625028688,1.6660238862427548
A,12,208.77468328157275,1.3645226724324857
A,12,231.9718703128586,0.9643341277781303
A,12,255.16905734414448,0.3281080396825473
A,12,278.3662443754303,-0.43645950688744506
A,12,301.5634314067162,-1.37140773103323
A,12,324.76061843800204,-2.609447795861172
A,12,347.9578054692879,-4.143707382025127
A,12,371.15499250057377,-5.935115762784903
A,12,394.35217953185963,-7.7647603572456205
A,12,417.5493665631455,-10.128523000944483
A,12,440.74655359443136,-12.513009880046013
A,12,463.9437406257172,-15.097346302283881
A,12,487.1409276570031,-17.94297061392649
A,12,510.33811468828895,-21.230470992719745
A,12,533.5353017195748,-24.689886143531396
A,12,556.7324887508606,-28.354753990070435
A,12,579.9296757821465,-32.178837973561144
A,12,603.1268628134324,-36.2723701909614
A,12,626.3240498447183,-40.76438857673622
A,12,649.5212368760041,-45.408896071654794
A,12,672.71842390729,-50.262692555616354
A,13,0.0,0.0
A,13,23.126724595032517,-13.099817378828963
A,13,46.253449190065034,-4.595123074674966
A,13,69.38017378509755,-0.9098512824425598
A,13,92.50689838013007,0.1269206605467872
A,13,115.63362297516258,1.3594295574752238
A,13,138.7603475701951,2.2535637267843356
A,13,161.8870721652276,2.5703275729064217
A,13,185.01379676026013,2.882856097323412
A,13,208.14052135529266,3.181952683638343
A,13,231.26724595032516,3.180923373391522
A,13,254.3939705453577,2.7515862083049285
A,13,277.5206951403902,2.2753708619192707
A,13,300.6474197354227,1.768104916805214
A,13,323.7741443304552,0.8173081173383139
A,13,346.90086892548777,-0.1463114371696861
A,13,370.02759352052027,-1.4860244895061214
A,13,393.15431811555277,-2.878640217925181
A,13,416.2810427105853,-4.5311316729095665
A,13,439.4077673056178,-6.424798329661996
A,13,462.5344919006503,-8.568823113740734
A,13,485.6612164956829,-10.847730981546817
A,13,508.7879410907154,-13.529524873686057
A,13,531.9146656857479,-16.450703218547233
A,13,555.0413902807804,-19.481922574745226
A,13,578.1681148758129,-22.865464045556564
A,13,601.2948394708454,-26.37897297662937
A,13,624.421564065878,-30.214311039805352
A,13,647.5482886609104,-34.244512875836335
A,13,670.675013255943,-38.547646177008346
A,14,0.0,0.0
A,14,22.69682258793742,-14.480727806836645
A,14,45.39364517587484,-4.341512407863405
A,14,68.09046776381226,-0.8676833169533325
A,14,90.78729035174968,0.707509383269894
A,14,113.4841129396871,2.093026488954763
A,14,136.1809355276245,3.0168984793432116
A,14,158.87775811556193,3.5658941942426168
A,14,181.57458070349935,4.0754782394172935
A,14,204.27140329143677,4.080800016213203
A,14,226.9682258793742,4.043350111046152
A,14,249.6650484673116,3.6317404758336806
A,14,272.361871055249,3.180536355204765
A,14,295.0586936431864,2.426176434459137
A,14,317.75551623112386,1.6207418994981708
A,14,340.4523388190613,0.38955932426711115
A,14,363.1491614069987,-0.9237600789528528
A,14,385.8459839949361,-2.372243464369319
A,14,408.54280658287354,-4.228107561384093
A,14,431.239629170811,-6.124649665174161
A,14,453.9364517587484,-8.310315096650527
A,14,476.63327434668577,-10.592054252731884
A,14,499.3300969346232,-13.312853332457678
A,14,522.0269195225607,-16.01032636622125
A,14,544.723742110498,-18.83318033887315
A,14,567.4205646984354,-22.21297823363534
A,14,590.1173872863728,-25.6084664746179
A,14,612.8142098743103,-29.311888943572512
