condition,image_num,sample_id,particle_count,clark_evans_R,nnd_mean_um,nnd_median_um,nnd_std_um,nnd_cv,voronoi_cv,voronoi_entropy,L_max,L_max_radius_um
A,1,1,804,1.071865204835246,44.55634327876384,40.51039843466628,19.810144539679545,0.4446088498721422,6.469420396088436,4.795339290344602,10.011747372721004,183.4486184358939
A,2,1,1680,1.2257364441455185,36.05673729660097,34.12267832826208,11.844856082056637,0.32850604270212874,5.777496280890997,5.846529806670963,6.729468398686578,187.6553801832088
A,3,1,455,0.9283118193841029,52.51959397484442,44.20343249030697,29.68435690938346,0.5652053769418235,5.713306356596547,3.9816780374274536,12.704215629699561,70.43386145739865
A,4,1,601,1.0552559847521972,50.42850944743998,46.42653634893523,21.136107055868163,0.4191301168220657,5.412109179414333,4.637068147363107,6.930003945187423,136.7520545475265
A,5,1,237,1.3277493421249185,40.23937126330702,38.56656596002616,12.436650701105316,0.30906672521610434,2.183653468773184,4.456443576986656,0.0,0.0
A,6,2,1816,1.2537631641086147,37.24211861630718,35.427671398753574,11.793008749157465,0.31665783761275246,9.62085106596456,5.126691123532247,0.0,0.0
A,7,2,1483,1.1531127850606797,38.79870657805108,36.67794364122372,13.63358700666287,0.3513928223157718,11.60833733885338,4.033716478180259,1.6129987580416127,126.04136739896946
A,8,2,299,1.3302416526415146,43.28027766290823,40.000998986512265,17.51062157618536,0.40458662748349683,2.958623377844906,4.106275183291373,0.0,0.0
A,9,2,1595,1.3250383119687845,35.8141207321677,33.775817494268104,11.604086926441619,0.3240087063206609,8.48711968386512,5.0947164383351735,0.0,0.0
A,10,2,1505,1.2989027726025084,35.42136954567988,32.908376119714006,12.135126783305589,0.3425933818751972,2.812421708683202,6.249770043562284,1.169049816961376,102.90915807135309
A,11,3,2068,1.3011362187184583,34.57915182337791,33.11607812846742,10.554659209450895,0.30523187102337224,16.671617202636394,4.57796175554389,4.372789905549354,235.12234431076422
A,12,3,2335,1.340413669739848,33.075290254620384,31.80311619010526,9.61761753544696,0.2907795354601143,14.80414319059332,4.450661978997211,1.6660238862427548,185.57749625028688
A,13,3,2371,1.3418462702559621,32.75850315989698,31.177059848405932,9.58862808259134,0.2927065389950343,14.97641870814128,4.248589096413042,3.181952683638343,208.14052135529266
A,14,3,2114,1.3199536894174344,33.49224041154474,32.10550244186887,9.580683331627993,0.2860568064095689,7.437525867787026,5.67484935777859,4.080800016213203,204.27140329143677
A,15,3,1839,1.2702119598939137,34.594356268871366,33.26844351929755,10.110916257055814,0.2922706865383647,16.26193844213621,4.079427089919271,0.0,0.0
A,16,4,617,1.068279442255299,43.13099416005382,38.149275646832805,20.21561660118332,0.46870277383743236,6.69707949733151,4.008538669426662,13.599738167127981,175.59686372766689
A,17,4,671,1.0813347026022833,40.322990699575875,36.51394391188093,16.916115282661625,0.41951539281136585,7.381228052927149,4.413426205194403,14.4319771919169,150.33874056974872
A,18,4,600,1.0823698197526785,42.01937522126375,37.9084099865165,21.35358213991248,0.508184189495197,5.504970185344626,4.484735425267029,24.835887316275176,166.5018705616138
